시군명,동물원명,정제도로명주소,정제지번주소,운영구분,규모(㎡),종수,개체수,수의사수,사육사수,정제우편번호,정제WGS84위도,정제WGS84경도
하남시,주렁주렁,경기도 하남시 하남유니온로 120,경기도 하남시 신장동 612번지 2층,민간(법인),3474,110,22358,1,6,12942,37.54363317,127.2236432
고양시,배다골테마파크,,경기도 고양시 덕양구 화정동 7-7,민간,1653,19,119,1,1,10482,37.63096541,126.8475893
고양시,해피쥬,,경기도 고양시 덕양구 화정동 6-5,민간,350,11,18,1,1,10482,37.63021753,126.8475342
고양시,테마동물원쥬쥬,경기도 고양시 덕양구 원당로458번길 7-42,경기도 고양시 덕양구 관산동 290번지,민간,2698,95,347,1,8,10288,37.68940956,126.8549386
고양시,수피아,경기도 고양시 일산동구 강촌로26번길 7-4,경기도 고양시 일산동구 백석동 1413-6번지 지층,민간,147,5,6,1,1,10424,37.6463861,126.7796354
안성시,안성팜랜드,경기도 안성시 공도읍 대신두길 28,경기도 안성시 공도읍 신두리 451번지,민간법인,1287000,38,926,1,10,17558,36.99208545,127.1944218
포천시,주파크,경기도 포천시 소흘읍 죽엽산로 645,경기도 포천시 소흘읍 직동리 328-1번지,민간,270,69,290,1,2,11186,37.77789332,127.1653365
김포시,몬스터리움,경기도 김포시 대곶면 대명항1로 52,경기도 김포시 대곶면 대명리 482번지,민간,193,45,187,1,6,10041,37.64283604,126.5460935
파주시,쥬라리움,경기도 파주시 탄현면 새오리로 69,경기도 파주시 탄현면 성동리 84번지 지하1층,법인,300,29,112,1,3,10858,37.79041294,126.6850636
파주시,사파리체험 테마파크,경기도 파주시 탄현면 헤이리마을길 93-75,경기도 파주시 탄현면 법흥리 1652-23번지,개인,99,26,60,1,1,10859,37.79143608,126.6962395
평택시,아프리카쥬,경기도 평택시 안중읍 서동대로 1464,경기도 평택시 안중읍 현화리 640-4번지,개인,414,,,,,17930,36.98981188,126.9132829
평택시,은산어울림생태박물관협동조합,경기도 평택시 진위면 은산길 34-8,경기도 평택시 진위면 은산리 157번지 1층,협동조합,340,,,,,17717,37.08144851,127.1236664
부천시,신라애니멀그룹 부천점 플레이아쿠아리움,경기도 부천시 조마루로 2,경기도 부천시 상동 572-1번지 웅진플레이도시,민간(법인),5551,,,,,14592,37.4998691,126.7442661
용인시,㈜하이파크,,경기도 용인시 기흥구 구갈동 660번지 힐스테이트기흥,민간,465,39,110,1,15,17065,37.27502441,127.1174148
가평군,아침고요가족동물원,경기도 가평군 상면 임초밤안골로 301,경기도 가평군 상면 임초리 622-13번지,민간,3319,111,770,1,7,12447,37.74784804,127.3603473
오산시,오산버드파크(오산자연생태체험관),경기도 오산시 성호대로 141,경기도 오산시 오산동 915번지,민간,4727,258,1383,1,10,18132,37.14903521,127.0776575
하남시,주렁주렁,경기도 하남시 하남유니온로 120,경기도 하남시 신장동 612번지 2층,민간(법인),3474,110,22358,1,6,12942,37.54363317,127.2236432
고양시,해피쥬,,경기도 고양시 덕양구 화정동 6-5,민간,350,11,18,1,1,10482,37.63021753,126.8475342
고양시,수피아,경기도 고양시 일산동구 강촌로26번길 7-4,경기도 고양시 일산동구 백석동 1413-6번지 지층,민간,147,5,6,1,1,10424,37.6463861,126.7796354
포천시,주파크,경기도 포천시 소흘읍 죽엽산로 645,경기도 포천시 소흘읍 직동리 328-1번지,민간,270,69,290,1,2,11186,37.77789332,127.1653365
파주시,사파리체험 테마파크,경기도 파주시 탄현면 헤이리마을길 93-75,경기도 파주시 탄현면 법흥리 1652-23번지,개인,99,26,60,1,1,10859,37.79143608,126.6962395
평택시,은산어울림생태박물관협동조합,경기도 평택시 진위면 은산길 34-8,경기도 평택시 진위면 은산리 157번지 1층,협동조합,340,,,,,17717,37.08144851,127.1236664
부천시,신라애니멀그룹 부천점 플레이아쿠아리움,경기도 부천시 조마루로 2,경기도 부천시 상동 572-1번지 웅진플레이도시,민간(법인),5551,,,,,14592,37.4998691,126.7442661
용인시,㈜하이파크,,경기도 용인시 기흥구 구갈동 660번지 힐스테이트기흥,민간,465,39,110,1,15,17065,37.27502441,127.1174148
가평군,아침고요가족동물원,경기도 가평군 상면 임초밤안골로 301,경기도 가평군 상면 임초리 622-13번지,민간,3319,111,770,1,7,12447,37.74784804,127.3603473
오산시,오산버드파크(오산자연생태체험관),경기도 오산시 성호대로 141,경기도 오산시 오산동 915번지,민간,4727,258,1383,1,10,18132,37.14903521,127.0776575
하남시,쥬라리움,경기도 하남시 미사대로 410,"경기도 하남시 망월동 1143-1번지 미사강변오벨리스크 1,2층",민간(법인),576,44,219,1,1,12912,37.56691317,127.1971054
하남시,주렁주렁,경기도 하남시 하남유니온로 120,경기도 하남시 신장동 612번지 2층,민간(법인),3474,110,22358,1,6,12942,37.54363317,127.2236432
하남시,쥬라리움,경기도 하남시 미사대로 410,"경기도 하남시 망월동 1143-1번지 미사강변오벨리스크 1,2층",민간(법인),576,44,219,1,1,12912,37.56691317,127.1971054
하남시,주렁주렁,경기도 하남시 하남유니온로 120,경기도 하남시 신장동 612번지 2층,민간(법인),3474,110,22358,1,6,12942,37.54363317,127.2236432
고양시,배다골테마파크,,경기도 고양시 덕양구 화정동 7-7,민간,1653,19,119,1,1,10482,37.63096541,126.8475893
고양시,해피쥬,,경기도 고양시 덕양구 화정동 6-5,민간,350,11,18,1,1,10482,37.63021753,126.8475342
고양시,테마동물원쥬쥬,경기도 고양시 덕양구 원당로458번길 7-42,경기도 고양시 덕양구 관산동 290번지,민간,2698,95,347,1,8,10288,37.68940956,126.8549386
포천시,주파크,경기도 포천시 소흘읍 죽엽산로 645,경기도 포천시 소흘읍 직동리 328-1번지,민간,270,69,290,1,2,11186,37.77789332,127.1653365
고양시,수피아,경기도 고양시 일산동구 강촌로26번길 7-4,경기도 고양시 일산동구 백석동 1413-6번지 지층,민간,147,5,6,1,1,10424,37.6463861,126.7796354
안성시,안성팜랜드,경기도 안성시 공도읍 대신두길 28,경기도 안성시 공도읍 신두리 451번지,민간법인,1287000,38,926,1,10,17558,36.99208545,127.1944218
포천시,주파크,경기도 포천시 소흘읍 죽엽산로 645,경기도 포천시 소흘읍 직동리 328-1번지,민간,270,69,290,1,2,11186,37.77789332,127.1653365
평택시,아프리카쥬,경기도 평택시 안중읍 서동대로 1464,경기도 평택시 안중읍 현화리 640-4번지,개인,414,,,,,17930,36.98981188,126.9132829
평택시,은산어울림생태박물관협동조합,경기도 평택시 진위면 은산길 34-8,경기도 평택시 진위면 은산리 157번지 1층,협동조합,340,,,,,17717,37.08144851,127.1236664
평택시,브룩스월드 평택점,경기도 평택시 비전5로 10,경기도 평택시 비전동 1104번지 3층,민간(법인),3364,,,,,17854,36.99922914,127.1125185
부천시,신라애니멀그룹 부천점 플레이아쿠아리움,경기도 부천시 조마루로 2,경기도 부천시 상동 572-1번지 웅진플레이도시,민간(법인),5551,,,,,14592,37.4998691,126.7442661
용인시,에버랜드동물원,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 전대리 310번지,민간,141945,127,1543,5,59,17023,37.28996008,127.2165862
용인시,㈜하이파크,,경기도 용인시 기흥구 구갈동 660번지 힐스테이트기흥,민간,465,39,110,1,15,17065,37.27502441,127.1174148
과천시,서울대공원,경기도 과천시 대공원광장로 102,경기도 과천시 막계동 159-1번지,공영,2420000,238,2168,3,75,13829,37.43644317,127.0141028
김포시,몬스터리움,경기도 김포시 대곶면 대명항1로 52,경기도 김포시 대곶면 대명리 482번지,민간,193,45,187,1,6,10041,37.64283604,126.5460935
파주시,쥬라리움,경기도 파주시 탄현면 새오리로 69,경기도 파주시 탄현면 성동리 84번지 지하1층,법인,300,29,112,1,3,10858,37.79041294,126.6850636
파주시,사파리체험 테마파크,경기도 파주시 탄현면 헤이리마을길 93-75,경기도 파주시 탄현면 법흥리 1652-23번지,개인,99,26,60,1,1,10859,37.79143608,126.6962395
평택시,아프리카쥬,경기도 평택시 안중읍 서동대로 1464,경기도 평택시 안중읍 현화리 640-4번지,개인,414,,,,,17930,36.98981188,126.9132829
평택시,은산어울림생태박물관협동조합,경기도 평택시 진위면 은산길 34-8,경기도 평택시 진위면 은산리 157번지 1층,협동조합,340,,,,,17717,37.08144851,127.1236664
부천시,신라애니멀그룹 부천점 플레이아쿠아리움,경기도 부천시 조마루로 2,경기도 부천시 상동 572-1번지 웅진플레이도시,민간(법인),5551,,,,,14592,37.4998691,126.7442661
용인시,㈜하이파크,,경기도 용인시 기흥구 구갈동 660번지 힐스테이트기흥,민간,465,39,110,1,15,17065,37.27502441,127.1174148
과천시,서울대공원,경기도 과천시 대공원광장로 102,경기도 과천시 막계동 159-1번지,공영,2420000,238,2168,3,75,13829,37.43644317,127.0141028
가평군,아침고요가족동물원,경기도 가평군 상면 임초밤안골로 301,경기도 가평군 상면 임초리 622-13번지,민간,3319,111,770,1,7,12447,37.74784804,127.3603473
하남시,쥬라리움,경기도 하남시 미사대로 410,"경기도 하남시 망월동 1143-1번지 미사강변오벨리스크 1,2층",민간(법인),576,44,219,1,1,12912,37.56691317,127.1971054
하남시,주렁주렁,경기도 하남시 하남유니온로 120,경기도 하남시 신장동 612번지 2층,민간(법인),3474,110,22358,1,6,12942,37.54363317,127.2236432
고양시,배다골테마파크,,경기도 고양시 덕양구 화정동 7-7,민간,1653,19,119,1,1,10482,37.63096541,126.8475893
고양시,해피쥬,,경기도 고양시 덕양구 화정동 6-5,민간,350,11,18,1,1,10482,37.63021753,126.8475342
가평군,천원화조 관광농원,경기도 가평군 설악면 미사리로286번길 45-32,경기도 가평군 설악면 송산리 257번지,민간,695,11,40,1,1,12461,37.68457288,127.5272649
오산시,오산버드파크(오산자연생태체험관),경기도 오산시 성호대로 141,경기도 오산시 오산동 915번지,민간,4727,258,1383,1,10,18132,37.14903521,127.0776575
고양시,수피아,경기도 고양시 일산동구 강촌로26번길 7-4,경기도 고양시 일산동구 백석동 1413-6번지 지층,민간,147,5,6,1,1,10424,37.6463861,126.7796354
포천시,주파크,경기도 포천시 소흘읍 죽엽산로 645,경기도 포천시 소흘읍 직동리 328-1번지,민간,270,69,290,1,2,11186,37.77789332,127.1653365
파주시,쥬라리움,경기도 파주시 탄현면 새오리로 69,경기도 파주시 탄현면 성동리 84번지 지하1층,법인,300,29,112,1,3,10858,37.79041294,126.6850636
평택시,아프리카쥬,경기도 평택시 안중읍 서동대로 1464,경기도 평택시 안중읍 현화리 640-4번지,개인,414,,,,,17930,36.98981188,126.9132829
부천시,신라애니멀그룹 부천점 플레이아쿠아리움,경기도 부천시 조마루로 2,경기도 부천시 상동 572-1번지 웅진플레이도시,민간(법인),5551,,,,,14592,37.4998691,126.7442661
평택시,브룩스월드 평택점,경기도 평택시 비전5로 10,경기도 평택시 비전동 1104번지 3층,민간(법인),3364,,,,,17854,36.99922914,127.1125185
과천시,서울대공원,경기도 과천시 대공원광장로 102,경기도 과천시 막계동 159-1번지,공영,2420000,238,2168,3,75,13829,37.43644317,127.0141028
용인시,에버랜드동물원,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 전대리 310번지,민간,141945,127,1543,5,59,17023,37.28996008,127.2165862
과천시,서울대공원,경기도 과천시 대공원광장로 102,경기도 과천시 막계동 159-1번지,공영,2420000,238,2168,3,75,13829,37.43644317,127.0141028
가평군,천원화조 관광농원,경기도 가평군 설악면 미사리로286번길 45-32,경기도 가평군 설악면 송산리 257번지,민간,695,11,40,1,1,12461,37.68457288,127.5272649
하남시,주렁주렁,경기도 하남시 하남유니온로 120,경기도 하남시 신장동 612번지 2층,민간(법인),3474,110,22358,1,6,12942,37.54363317,127.2236432
고양시,배다골테마파크,,경기도 고양시 덕양구 화정동 7-7,민간,1653,19,119,1,1,10482,37.63096541,126.8475893
고양시,테마동물원쥬쥬,경기도 고양시 덕양구 원당로458번길 7-42,경기도 고양시 덕양구 관산동 290번지,민간,2698,95,347,1,8,10288,37.68940956,126.8549386
안성시,안성팜랜드,경기도 안성시 공도읍 대신두길 28,경기도 안성시 공도읍 신두리 451번지,민간법인,1287000,38,926,1,10,17558,36.99208545,127.1944218
파주시,쥬라리움,경기도 파주시 탄현면 새오리로 69,경기도 파주시 탄현면 성동리 84번지 지하1층,법인,300,29,112,1,3,10858,37.79041294,126.6850636
평택시,아프리카쥬,경기도 평택시 안중읍 서동대로 1464,경기도 평택시 안중읍 현화리 640-4번지,개인,414,,,,,17930,36.98981188,126.9132829
오산시,오산버드파크(오산자연생태체험관),경기도 오산시 성호대로 141,경기도 오산시 오산동 915번지,민간,4727,258,1383,1,10,18132,37.14903521,127.0776575
하남시,쥬라리움,경기도 하남시 미사대로 410,"경기도 하남시 망월동 1143-1번지 미사강변오벨리스크 1,2층",민간(법인),576,44,219,1,1,12912,37.56691317,127.1971054
하남시,주렁주렁,경기도 하남시 하남유니온로 120,경기도 하남시 신장동 612번지 2층,민간(법인),3474,110,22358,1,6,12942,37.54363317,127.2236432
가평군,아침고요가족동물원,경기도 가평군 상면 임초밤안골로 301,경기도 가평군 상면 임초리 622-13번지,민간,3319,111,770,1,7,12447,37.74756914,127.3607792
가평군,천원화조 관광농원,경기도 가평군 설악면 미사리로286번길 45-32,경기도 가평군 설악면 송산리 257번지,민간,695,11,40,1,1,12461,37.68457288,127.5272649
고양시,수피아,경기도 고양시 일산동구 강촌로26번길 7-4,경기도 고양시 일산동구 백석동 1413-6번지 지층,민간,147,5,6,1,1,10424,37.6463861,126.7796354
안성시,안성팜랜드,경기도 안성시 공도읍 대신두길 28,경기도 안성시 공도읍 신두리 451번지,민간법인,1287000,38,926,1,10,17558,36.99208545,127.1944218
안성시,안성팜랜드,경기도 안성시 공도읍 대신두길 28,경기도 안성시 공도읍 신두리 451번지,민간법인,1287000,38,926,1,10,17558,36.99208545,127.1944218
포천시,주파크,경기도 포천시 소흘읍 죽엽산로 645,경기도 포천시 소흘읍 직동리 328-1번지,민간,270,69,290,1,2,11186,37.77789332,127.1653365
파주시,쥬라리움,경기도 파주시 탄현면 새오리로 69,경기도 파주시 탄현면 성동리 84번지 지하1층,법인,300,29,112,1,3,10858,37.79041294,126.6850636
평택시,아프리카쥬,경기도 평택시 안중읍 서동대로 1464,경기도 평택시 안중읍 현화리 640-4번지,개인,414,,,,,17930,36.98981188,126.9132829
평택시,브룩스월드 평택점,경기도 평택시 비전5로 10,경기도 평택시 비전동 1104번지 3층,민간(법인),3364,,,,,17854,36.99922914,127.1125185
포천시,주파크,경기도 포천시 소흘읍 죽엽산로 645,경기도 포천시 소흘읍 직동리 328-1번지,민간,270,69,290,1,2,11186,37.77789332,127.1653365
부천시,신라애니멀그룹 부천점 플레이아쿠아리움,경기도 부천시 조마루로 2,경기도 부천시 상동 572-1번지 웅진플레이도시,민간(법인),5551,,,,,14592,37.4998691,126.7442661
용인시,㈜하이파크,,경기도 용인시 기흥구 구갈동 660번지 힐스테이트기흥,민간,465,39,110,1,15,17065,37.27502441,127.1174148
가평군,아침고요가족동물원,경기도 가평군 상면 임초밤안골로 301,경기도 가평군 상면 임초리 622-13번지,민간,3319,111,770,1,7,12447,37.74756914,127.3607792
오산시,오산버드파크(오산자연생태체험관),경기도 오산시 성호대로 141,경기도 오산시 오산동 915번지,민간,4727,258,1383,1,10,18132,37.14903521,127.0776575
하남시,주렁주렁,경기도 하남시 하남유니온로 120,경기도 하남시 신장동 612번지 2층,민간(법인),3474,110,22358,1,6,12942,37.54363317,127.2236432
고양시,해피쥬,,경기도 고양시 덕양구 화정동 6-5,민간,350,11,18,1,1,10482,37.63021753,126.8475342
고양시,수피아,경기도 고양시 일산동구 강촌로26번길 7-4,경기도 고양시 일산동구 백석동 1413-6번지 지층,민간,147,5,6,1,1,10424,37.6463861,126.7796354
포천시,주파크,경기도 포천시 소흘읍 죽엽산로 645,경기도 포천시 소흘읍 직동리 328-1번지,민간,270,69,290,1,2,11186,37.77789332,127.1653365
파주시,사파리체험 테마파크,경기도 파주시 탄현면 헤이리마을길 93-75,경기도 파주시 탄현면 법흥리 1652-23번지,개인,99,26,60,1,1,10859,37.79143608,126.6962395
평택시,은산어울림생태박물관협동조합,경기도 평택시 진위면 은산길 34-8,경기도 평택시 진위면 은산리 157번지 1층,협동조합,340,,,,,17717,37.08144851,127.1236664
용인시,에버랜드동물원,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 전대리 310번지,민간,141945,127,1543,5,59,17023,37.28996008,127.2165862
하남시,쥬라리움,경기도 하남시 미사대로 410,"경기도 하남시 망월동 1143-1번지 미사강변오벨리스크 1,2층",민간(법인),576,44,219,1,1,12912,37.56691317,127.1971054
김포시,몬스터리움,경기도 김포시 대곶면 대명항1로 52,경기도 김포시 대곶면 대명리 482번지,민간,193,45,187,1,6,10041,37.64283604,126.5460935
파주시,사파리체험 테마파크,경기도 파주시 탄현면 헤이리마을길 93-75,경기도 파주시 탄현면 법흥리 1652-23번지,개인,99,26,60,1,1,10859,37.79143608,126.6962395
평택시,은산어울림생태박물관협동조합,경기도 평택시 진위면 은산길 34-8,경기도 평택시 진위면 은산리 157번지 1층,협동조합,340,,,,,17717,37.08144851,127.1236664
용인시,에버랜드동물원,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 전대리 310번지,민간,141945,127,1543,5,59,17023,37.28996008,127.2165862
과천시,서울대공원,경기도 과천시 대공원광장로 102,경기도 과천시 막계동 159-1번지,공영,2420000,238,2168,3,75,13829,37.43644317,127.0141028
가평군,천원화조 관광농원,경기도 가평군 설악면 미사리로286번길 45-32,경기도 가평군 설악면 송산리 257번지,민간,695,11,40,1,1,12461,37.68457288,127.5272649
하남시,쥬라리움,경기도 하남시 미사대로 410,"경기도 하남시 망월동 1143-1번지 미사강변오벨리스크 1,2층",민간(법인),576,44,219,1,1,12912,37.56691317,127.1971054
고양시,배다골테마파크,,경기도 고양시 덕양구 화정동 7-7,민간,1653,19,119,1,1,10482,37.63096541,126.8475893
고양시,테마동물원쥬쥬,경기도 고양시 덕양구 원당로458번길 7-42,경기도 고양시 덕양구 관산동 290번지,민간,2698,95,347,1,8,10288,37.68940956,126.8549386
안성시,안성팜랜드,경기도 안성시 공도읍 대신두길 28,경기도 안성시 공도읍 신두리 451번지,민간법인,1287000,38,926,1,10,17558,36.99208545,127.1944218
김포시,몬스터리움,경기도 김포시 대곶면 대명항1로 52,경기도 김포시 대곶면 대명리 482번지,민간,193,45,187,1,6,10041,37.64283604,126.5460935
파주시,쥬라리움,경기도 파주시 탄현면 새오리로 69,경기도 파주시 탄현면 성동리 84번지 지하1층,법인,300,29,112,1,3,10858,37.79041294,126.6850636
평택시,아프리카쥬,경기도 평택시 안중읍 서동대로 1464,경기도 평택시 안중읍 현화리 640-4번지,개인,414,,,,,17930,36.98981188,126.9132829
평택시,브룩스월드 평택점,경기도 평택시 비전5로 10,경기도 평택시 비전동 1104번지 3층,민간(법인),3364,,,,,17854,36.99922914,127.1125185
부천시,신라애니멀그룹 부천점 플레이아쿠아리움,경기도 부천시 조마루로 2,경기도 부천시 상동 572-1번지 웅진플레이도시,민간(법인),5551,,,,,14592,37.4998691,126.7442661
용인시,㈜하이파크,,경기도 용인시 기흥구 구갈동 660번지 힐스테이트기흥,민간,465,39,110,1,15,17065,37.27502441,127.1174148
과천시,서울대공원,경기도 과천시 대공원광장로 102,경기도 과천시 막계동 159-1번지,공영,2420000,238,2168,3,75,13829,37.43644317,127.0141028
오산시,오산버드파크(오산자연생태체험관),경기도 오산시 성호대로 141,경기도 오산시 오산동 915번지,민간,4727,258,1383,1,10,18132,37.14903521,127.0776575
오산시,오산버드파크(오산자연생태체험관),경기도 오산시 성호대로 141,경기도 오산시 오산동 915번지,민간,4727,258,1383,1,10,18132,37.14903521,127.0776575
하남시,쥬라리움,경기도 하남시 미사대로 410,"경기도 하남시 망월동 1143-1번지 미사강변오벨리스크 1,2층",민간(법인),576,44,219,1,1,12912,37.56691317,127.1971054
하남시,주렁주렁,경기도 하남시 하남유니온로 120,경기도 하남시 신장동 612번지 2층,민간(법인),3474,110,22358,1,6,12942,37.54363317,127.2236432
고양시,배다골테마파크,,경기도 고양시 덕양구 화정동 7-7,민간,1653,19,119,1,1,10482,37.63096541,126.8475893
고양시,해피쥬,,경기도 고양시 덕양구 화정동 6-5,민간,350,11,18,1,1,10482,37.63021753,126.8475342
